ITEMNMBR,VENDORID,VendorDesc,OfferPrice,VendorUOM,ITEMDESC,SystemCost,AvgSellingPrice,SourcingDiff,SourcingPct
GRPVIT                         ,A1SUPPLEMENTS  ,Vitamins                                                                                             ,0.0598,         ,Vitamins                                                                                             ,30.55952,,30.49972,99.80431629816175
GRPVIT                         ,SUPPLE         ,Vitamins                                                                                             ,0.08336,         ,Vitamins                                                                                             ,30.55952,,30.47616,99.72722084640073
NPKAVAIL                       ,PCSSALES       ,46% Urea Bulk Bags                                                                                   ,0.3545,         ,Avail                                                                                                ,16.07126,,15.716759999999999,97.79419908582152
NPKAVAIL                       ,TRADEMAR       ,46% Urea Bulk Bags                                                                                   ,0.3545,         ,Avail                                                                                                ,16.07126,,15.716759999999999,97.79419908582152
GPGANTEC01                     ,CHEMSPEC       ,Copper Count N                                                                                       ,11.75387,         ,Gantec Berry                                                                                         ,522.56,,510.80612999999994,97.75071379363135
GPGANTEC01                     ,MORSES ENT     ,                                                                                                     ,11.75387,         ,Gantec Berry                                                                                         ,522.56,,510.80612999999994,97.75071379363135
GPGANTEC01                     ,               ,                                                                                                     ,11.75387,         ,Gantec Berry                                                                                         ,522.56,,510.80612999999994,97.75071379363135
NO3NIDRY                       ,HARRELLS       ,                                                                                                     ,0.24,         ,Nickel Nitrate 19.8%                                                                                 ,6.52482,,6.28482,96.32173761115249
FLOCACHL00                     ,ECOPRODUCT     ,Calcium Chloride Liquid 13.7%                                                                        ,0.06996,         ,Dyna Flo Calcium Chloride                                                                            ,1.86601,,1.79605,96.25082395056832
FLOCACHL00                     ,BRENNTAG       ,                                                                                                     ,0.06996,         ,Dyna Flo Calcium Chloride                                                                            ,1.86601,,1.79605,96.25082395056832
FLOCACHL00                     ,TETRACHE       ,Calcium Chloride 12%                                                                                 ,0.06996,         ,Dyna Flo Calcium Chloride                                                                            ,1.86601,,1.79605,96.25082395056832
NPKAGROTAIN                    ,TRADEMAR       ,46% Urea Bulk Bags                                                                                   ,0.26,         ,Agrotain Ultra                                                                                       ,6.85591,,6.59591,96.20765150067606
NPKAGROTAIN                    ,PCSSALES       ,46% Urea Bulk Bags                                                                                   ,0.26,         ,Agrotain Ultra                                                                                       ,6.85591,,6.59591,96.20765150067606
FLOCACHL55                     ,TETRACHE       ,Calcium Chloride 12%                                                                                 ,0.06996,         ,Dyna Flo Calcium Chloride                                                                            ,1.7183,,1.64834,95.92853401617877
FLOCACHL55                     ,BRENNTAG       ,                                                                                                     ,0.06996,         ,Dyna Flo Calcium Chloride                                                                            ,1.7183,,1.64834,95.92853401617877
FLOCACHL55                     ,ECOPRODUCT     ,Calcium Chloride Liquid 13.7%                                                                        ,0.06996,         ,Dyna Flo Calcium Chloride                                                                            ,1.7183,,1.64834,95.92853401617877
GRPFOLIC                       ,QUIMICA        ,                                                                                                     ,1.42213,         ,Folic Acid Dry                                                                                       ,32.0,,30.57787,95.55584375000001
FLO021202                      ,NACHRSAL       ,                                                                                                     ,2.0257,         ,Dyna Flo K-Sil 0-2-12 w/ silicates                                                                   ,19.656,25.9,17.6303,89.69424094424095
FREIGHT CHARGE                 ,CHEMICAL       ,Freight Charge                                                                                       ,125.0,         ,Freight Charge                                                                                       ,1205.0,,1080.0,89.62655601659752
GRPASCORBIC                    ,QUIMICA        ,                                                                                                     ,1.42213,         ,Ascorbic Acid Dry                                                                                    ,12.50067,,11.07854,88.62356977665998
MISCAG                         ,BRENNTAG       ,Sulfochem SLS                                                                                        ,0.45,         ,Colloidal Silver                                                                                     ,3.59495,,3.1449499999999997,87.48244064590605
MISCAG                         ,VANWATER       ,Sulfochem SLS                                                                                        ,0.45,         ,Colloidal Silver                                                                                     ,3.59495,,3.1449499999999997,87.48244064590605
FLOZNCHL02                     ,ECOPRODUCT     ,Calcium Chloride Liquid 13.7%                                                                        ,1.807,         ,Dyna Flo Zinc Chloride Liquid 30.6%                                                                  ,12.336,,10.529,85.3518158236057
FLOZNCHL02                     ,BRENNTAG       ,                                                                                                     ,1.807,         ,Dyna Flo Zinc Chloride Liquid 30.6%                                                                  ,12.336,,10.529,85.3518158236057
FLOZNCHL02                     ,TETRACHE       ,Calcium Chloride 12%                                                                                 ,1.807,         ,Dyna Flo Zinc Chloride Liquid 30.6%                                                                  ,12.336,,10.529,85.3518158236057
GEOCARB62502                   ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,0.30618,         ,Vented/White- Carbotein 6-2-5  /  **** Do Not Use - use repack02 in talls only                       ,1.94,,1.63382,84.21752577319587
ZZ250GAL                       ,CROPPROD       ,250 Gallon IBC                                                                                       ,20.0,         ,250 Gallon IBC                                                                                       ,125.0,143.333333,105.0,84.0
GRPNANOPRO02                   ,AEFGLOBAL      ,FungOut                                                                                              ,12.0,         ,NanoPro                                                                                              ,72.0,,60.0,83.33333333333334
GPNZONE                        ,AEFGLOBAL      ,BerryCare                                                                                            ,12.0,         ,N Zone                                                                                               ,72.0,76.799745,60.0,83.33333333333334
PHURYPHOS00                    ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,1.0374,         ,pHury Phos                                                                                           ,6.10811,,5.07071,83.01602295963892
PHURYPHOS00                    ,PRODICAL       ,                                                                                                     ,1.0374,         ,pHury Phos                                                                                           ,6.10811,,5.07071,83.01602295963892
FLOFULVIC250                   ,TESSENDE       ,                                                                                                     ,3.99681,         ,Dyna Flo Fulvic Acid Liquid 30%                                                                      ,23.4942,,19.49739,82.98809919043849
NPKPHOSDRYCDI                  ,PCSSALES       ,Phosphoric Acid 75%                                                                                  ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,BELLCHEM       ,Phosphoric Acid 75%                                                                                  ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,CROPPROD       ,Phosphoric Acid 75%                                                                                  ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,NACHRSAL       ,Phosphoric Acid 75%                                                                                  ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,"CHEMSOL, LLC   ",Phosphoric Acid 75%                                                                                  ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,FANGCHEMICAL   ,Phosphoric Acid 75%                                                                                  ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,UNITEDSU       ,Phosphoric Acid 75%                                                                                  ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,VALUDORPRODUCTS,Phosphoric Acid 75%                                                                                  ,0.43902,LBS      ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,BRENNTAG       ,                                                                                                     ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,INDUSTR1       ,                                                                                                     ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
SEP4E140402                    ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.07285,         ,4 Ever Green 14-0-4                                                                                  ,5.24994,,4.17709,79.56452835651456
ZZ5GALTH                       ,               ,                                                                                                     ,2.68,         ,5 Gallon Jug - White/Tite Head                                                                       ,13.09,,10.41,79.52635599694423
ZZ5GALTH                       ,ROPAK          ,                                                                                                     ,2.68,         ,5 Gallon Jug - White/Tite Head                                                                       ,13.09,,10.41,79.52635599694423
ZZ5GALTH                       ,PENNBOTT       ,White 5 gallon Pails                                                                                 ,2.68,         ,5 Gallon Jug - White/Tite Head                                                                       ,13.09,,10.41,79.52635599694423
ZZ5GALTH                       ,ALLAMERI       ,5 gallon Camo Pails                                                                                  ,2.68,         ,5 Gallon Jug - White/Tite Head                                                                       ,13.09,,10.41,79.52635599694423
ZZ5GALTH                       ,SMITH CONTAINER,                                                                                                     ,2.68,         ,5 Gallon Jug - White/Tite Head                                                                       ,13.09,,10.41,79.52635599694423
EDTAFEHE                       ,TTECHCOR       ,Iron EDTAHE Chelate 10.6/ppg                                                                         ,0.3401,         ,Iron HEDTA 4.5% Liquid                                                                               ,1.65,,1.3098999999999998,79.38787878787879
SEP4E1404250                   ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.07285,         ,4 Ever Green 14-0-4                                                                                  ,4.92643,,3.85358,78.22256684861046
SEP4EPL02                      ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.07285,         ,4 Ever Green Plex                                                                                    ,4.8056,,3.7327500000000002,77.67500416181122
EDTACA                         ,               ,                                                                                                     ,1.80959,         ,Calcium EDTA 9.5%                                                                                    ,8.0,,6.19041,77.38012499999999
EDTACA                         ,TIGERSUN       ,                                                                                                     ,1.80959,         ,Calcium EDTA 9.5%                                                                                    ,8.0,,6.19041,77.38012499999999
EDTACA                         ,NACHRSAL       ,Iron HEDTA 4.5% Liquid                                                                               ,1.80959,         ,Calcium EDTA 9.5%                                                                                    ,8.0,,6.19041,77.38012499999999
EDTACA                         ,UNITEDSU       ,Iron HEDTA 4.5% Liquid                                                                               ,1.80959,LBS      ,Calcium EDTA 9.5%                                                                                    ,8.0,,6.19041,77.38012499999999
EDTACA                         ,TTECHCOR       ,Iron EDTAHE Chelate 10.6/ppg                                                                         ,1.80959,         ,Calcium EDTA 9.5%                                                                                    ,8.0,,6.19041,77.38012499999999
SEP4E183602                    ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.07285,         ,4 Ever Green 18-3-6                                                                                  ,4.69624,,3.6233900000000006,77.15512835800556
ZZLIDS                         ,ROPAK          ,                                                                                                     ,0.9,         ,Lids for 5 Gallon White Pails                                                                        ,3.59029,,2.69029,74.93238707736701
OXZN                           ,IMPERIAL       ,                                                                                                     ,0.54,         ,Zinc Oxide 99.9% as ZnO                                                                              ,1.98745,,1.44745,72.82950514478351
"3"" EPDM GASKET  B300G          ",CHEMICAL       ,"3"" EPDM Gasket  (B300G)                                                                              ",1.04,         ,"3"" EPDM Gasket  (B300G)                                                                              ",3.75,,2.71,72.26666666666667
MISCKSORB                      ,OCCIDENT       ,Sodium Hydroxide (dry caustic soda)                                                                  ,0.52,         ,Potassium Sorbate Solution                                                                           ,1.81,,1.29,71.27071823204419
MISCKSORB                      ,VANWATER       ,                                                                                                     ,0.52,         ,Potassium Sorbate Solution                                                                           ,1.81,,1.29,71.27071823204419
MISCKSORB                      ,LA CHEMICAL CO ,Sodium Hydroxide (dry caustic soda)                                                                  ,0.52,         ,Potassium Sorbate Solution                                                                           ,1.81,,1.29,71.27071823204419
MISCKSORB                      ,BELLCHEM       ,                                                                                                     ,0.52,         ,Potassium Sorbate Solution                                                                           ,1.81,,1.29,71.27071823204419
MISCKSORB                      ,CFSENTERPRISES ,Sodium Hydroxide (dry caustic soda)                                                                  ,0.52,LBS      ,Potassium Sorbate Solution                                                                           ,1.81,,1.29,71.27071823204419
MISCKSORB                      ,HILL CHEM      ,Sodium Hydroxide (dry caustic soda)                                                                  ,0.52,LBS      ,Potassium Sorbate Solution                                                                           ,1.81,,1.29,71.27071823204419
MISCKSORB                      ,               ,                                                                                                     ,0.52,         ,Potassium Sorbate Solution                                                                           ,1.81,,1.29,71.27071823204419
MISCKSORB                      ,PCCHEMICALS    ,Sodium Hydroxide (dry caustic soda)                                                                  ,0.52,LBS      ,Potassium Sorbate Solution                                                                           ,1.81,,1.29,71.27071823204419
MISCKSORB                      ,BRENNTAG       ,Sodium Hydroxide                                                                                     ,0.52,         ,Potassium Sorbate Solution                                                                           ,1.81,,1.29,71.27071823204419
MISCKSORB                      ,BAYCHEMI       ,                                                                                                     ,0.52,         ,Potassium Sorbate Solution                                                                           ,1.81,,1.29,71.27071823204419
SEP4EMG02                      ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.07285,         ,4 Ever Green Magnesium 4%                                                                            ,3.7297,,2.6568499999999995,71.23495187280477
SEP4EMIC02                     ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.07285,         ,4 Ever Micro Green                                                                                   ,3.69528,,2.6224299999999996,70.96701738433893
SO4NIDRY                       ,PALMINTERNATION,Nickel Sulfate 10%                                                                                   ,1.23727,LBS      ,Nickel Sulfate 22%                                                                                   ,4.21818,,2.98091,70.66815546041184
SO4NIDRY                       ,BRENNTAG       ,Nickel Sulfate 10%                                                                                   ,1.23727,LBS      ,Nickel Sulfate 22%                                                                                   ,4.21818,,2.98091,70.66815546041184
MISCBTERGE                     ,BREWER         ,                                                                                                     ,0.85971,         ,Bio Terge PAS-8S                                                                                     ,2.90333,,2.0436199999999998,70.38882937867896
PARTS FOR REPAIR WORK (MISC)   ,ELITEFLEETSVC  ,Misc. parts for Safety Certification                                                                 ,679.69,         ,Misc. parts for Safety Certification                                                                 ,2266.89,,1587.1999999999998,70.01663071432668
SEP4EMN02                      ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.07285,         ,4 Ever Green Manganese 5%                                                                            ,3.57719,,2.50434,70.00858215526713
GRPASCORBIC                    ,UNIVAR         ,Ascorbic Acid Dry                                                                                    ,3.75788,         ,Ascorbic Acid Dry                                                                                    ,12.50067,,8.74279,69.93857129257871
PHURYMG02                      ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,1.67417,         ,pHury w/Magnesium                                                                                    ,5.536,11.25,3.8618299999999994,69.75848988439306
PHURYMG02                      ,PRODICAL       ,                                                                                                     ,1.67417,         ,pHury w/Magnesium                                                                                    ,5.536,11.25,3.8618299999999994,69.75848988439306
MISCDEFOAM                     ,BAYCHEMI       ,Defoamer                                                                                             ,1.08096,LBS      ,Defoamer                                                                                             ,3.56875,,2.4877900000000004,69.71040280210158
SEP4E62FE02                    ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.07285,         ,Vented 4 Ever Green 62 Iron                                                                          ,3.49847,,2.4256200000000003,69.3337373194568
REC-NO3CU                      ,SHEPHERD       ,Fe Nitrate 10%                                                                                       ,0.45,         ,Copper Nitrate Solution - Receiving item for dilution                                                ,1.4556,,1.0056,69.08491343775763
REC-NO3CU                      ,WORLD METALS   ,Iron Nitrate 10% << dilute this mateiral to 10% >>                                                   ,0.45,LBS      ,Copper Nitrate Solution - Receiving item for dilution                                                ,1.4556,,1.0056,69.08491343775763
REC-NO3CU                      ,ERACHEM        ,Manganese Nitrate Solution - Receiving item for dilution                                             ,0.45,         ,Copper Nitrate Solution - Receiving item for dilution                                                ,1.4556,,1.0056,69.08491343775763
PHURYPLUS30                    ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,1.0374,         ,pHury Plus                                                                                           ,3.29187,,2.2544699999999995,68.48599732067183
PHURYPLUS30                    ,PRODICAL       ,                                                                                                     ,1.0374,         ,pHury Plus                                                                                           ,3.29187,,2.2544699999999995,68.48599732067183
SEP4EMIC250                    ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.07285,         ,4 Ever Micro Green                                                                                   ,3.37412,,2.3012699999999997,68.20356122485269
SEP4ECA02                      ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.07285,         ,4 Ever Green Calcium 8.25%                                                                           ,3.32563,,2.2527799999999996,67.73994701755757
ZZ5GAL                         ,ROPAK          ,                                                                                                     ,1.71129,         ,5 Gallon Pail                                                                                        ,5.22,,3.5087099999999998,67.21666666666667
ZZ5GAL                         ,SMITH CONTAINER,                                                                                                     ,1.71129,         ,5 Gallon Pail                                                                                        ,5.22,,3.5087099999999998,67.21666666666667
ZZ5GAL                         ,RIBELIN        ,                                                                                                     ,1.71129,         ,5 Gallon Pail                                                                                        ,5.22,,3.5087099999999998,67.21666666666667
MISCOIL250                     ,UNITEDAG       ,Citrus Soluble Oil                                                                                   ,2.10872,         ,Citrus Soluble Oil                                                                                   ,6.42,,4.31128,67.15389408099689
FLO021200                      ,NACHRSAL       ,                                                                                                     ,6.04208,         ,Dyna Flo K-Sil 0-2-12 w/ silicates                                                                   ,18.22,,12.177919999999999,66.83819978046103
ZZLIDS                         ,PENNBOTT       ,                                                                                                     ,1.2416,         ,Lids for 5 Gallon White Pails                                                                        ,3.59029,,2.34869,65.41783532806542
CHEGLUATEDRY                   ,UNIVAR         ,Sodium Gluconate                                                                                     ,0.65,         ,Sodium Gluconate                                                                                     ,1.84,,1.19,64.67391304347827
CHEGLUATEDRY                   ,VANWATER       ,                                                                                                     ,0.68,         ,Sodium Gluconate                                                                                     ,1.84,,1.1600000000000001,63.04347826086957
FLO801802                      ,NACHRSAL       ,                                                                                                     ,1.568,         ,N-ER-G / Dyna Flo 8-0-18                                                                             ,4.23167,,2.66367,62.946070936533324
1004-2753 SHAFT                ,EPAKINC        ,1004-2753 Shaft for ELF Conveyor Belt                                                                ,75.0,         ,1004-2753 Shaft for ELF Conveyor Belt                                                                ,200.6,,125.6,62.612163509471586
ZZ2.5GALF                      ,PACK           ,                                                                                                     ,1.6445,         ,2.5 F-style Jug/Box combo Haz-Mat                                                                    ,4.39,,2.7455,62.53986332574032
ZZ2.5GALF                      ,SMITH CONTAINER,                                                                                                     ,1.6445,         ,2.5 F-style Jug/Box combo Haz-Mat                                                                    ,4.39,,2.7455,62.53986332574032
NPKMKP                         ,VICKSBUR       ,                                                                                                     ,0.37501,         ,Mono Potassium Phosphate                                                                             ,1.00007,,0.62506,62.50162488625796
MISCDEFOAM                     ,HARCROSC       ,Defoamer                                                                                             ,1.35,LBS      ,Defoamer                                                                                             ,3.56875,,2.21875,62.17162872154115
ZZTANKSRESALE                  ,DURACASTPRODUCT,Tanks for Resale                                                                                     ,624.61,EACH5    ,Tanks for Resale                                                                                     ,1647.0,,1022.39,62.07589556769884
TRAVEL TIME                    ,ARMOR          ,Travel time to the job                                                                               ,90.0,         ,Travel time to the job                                                                               ,230.0,,140.0,60.86956521739131
ZZ30GAL                        ,RUSSELLS       ,                                                                                                     ,10.0,         ,30 Gallon Drum                                                                                       ,25.0,22.0,15.0,60.0
PHURYPLUS250                   ,PRODICAL       ,                                                                                                     ,1.0374,         ,pHury Plus                                                                                           ,2.58434,,1.54694,59.85822298923515
PHURYPLUS250                   ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,1.0374,         ,pHury Plus                                                                                           ,2.58434,,1.54694,59.85822298923515
FLO003000                      ,NACHRSAL       ,                                                                                                     ,2.1,         ,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             ,4.94667,,2.84667,57.547198418329906
MISCMETHPAR                    ,UNIVAR         ,Potassium Sorbate                                                                                    ,4.8672,         ,Methyl Paraben                                                                                       ,11.27083,,6.40363,56.81595765351797
MISCMETHPAR                    ,PCCHEMICALS    ,Sodium Hydroxide (dry caustic soda)                                                                  ,4.8672,LBS      ,Methyl Paraben                                                                                       ,11.27083,,6.40363,56.81595765351797
MISCMETHPAR                    ,VANWATER       ,                                                                                                     ,4.8672,         ,Methyl Paraben                                                                                       ,11.27083,,6.40363,56.81595765351797
MISCMETHPAR                    ,BELLCHEM       ,                                                                                                     ,4.8672,         ,Methyl Paraben                                                                                       ,11.27083,,6.40363,56.81595765351797
MISCMETHPAR                    ,CFSENTERPRISES ,Sodium Hydroxide (dry caustic soda)                                                                  ,4.8672,LBS      ,Methyl Paraben                                                                                       ,11.27083,,6.40363,56.81595765351797
MISCMETHPAR                    ,LA CHEMICAL CO ,Sodium Hydroxide (dry caustic soda)                                                                  ,4.8672,         ,Methyl Paraben                                                                                       ,11.27083,,6.40363,56.81595765351797
MISCMETHPAR                    ,HILL CHEM      ,Sodium Hydroxide (dry caustic soda)                                                                  ,4.8672,LBS      ,Methyl Paraben                                                                                       ,11.27083,,6.40363,56.81595765351797
MISCMETHPAR                    ,BAYCHEMI       ,                                                                                                     ,4.8672,         ,Methyl Paraben                                                                                       ,11.27083,,6.40363,56.81595765351797
MISCMETHPAR                    ,               ,                                                                                                     ,4.8672,         ,Methyl Paraben                                                                                       ,11.27083,,6.40363,56.81595765351797
MISCMETHPAR                    ,OCCIDENT       ,Sodium Hydroxide (dry caustic soda)                                                                  ,4.8672,         ,Methyl Paraben                                                                                       ,11.27083,,6.40363,56.81595765351797
FREIGHT                        ,TAYLORSFORKLIFT,Freight Charge:                                                                                      ,14.5,         ,Freight Charge:                                                                                      ,33.5,1185.0,19.0,56.71641791044776
MAC425DRY50#                   ,GROMORCO       ,                                                                                                     ,220.0,         ,4-2-5  Dry Bagged                                                                                    ,496.0,,276.0,55.64516129032258
ZZ5GALCAMO                     ,PENNBOTT       ,White 5 gallon Pails                                                                                 ,2.4347,         ,5 Gallon Camo Pail                                                                                   ,5.41,6.764056,2.9753000000000003,54.996303142329026
GREENFIRE02                    ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.01793,         ,Greenfire                                                                                            ,2.26161,,1.2436800000000001,54.990913552734554
6JE SLEEVE FOR LOVEJOY         ,MOTION         ,06282176 Sleeve 6JE                                                                                  ,31.5,         ,06282176 Sleeve 6JE                                                                                  ,69.98,,38.480000000000004,54.987139182623615
NPKPHOSDRYCDI                  ,DOUGLASPLANT   ,Phosphorous Acid 99% P2O5 85%                                                                        ,1.01693,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.1830700000000003,53.7759090909091
FLO15001600                    ,PRODICAL       ,                                                                                                     ,1.77285,         ,pHury                                                                                                ,3.70352,,1.93067,52.13067568151381
FREIGHT                        ,EPAKINC        ,Freight Charge:                                                                                      ,16.04,         ,Freight Charge:                                                                                      ,33.5,1185.0,17.46,52.11940298507463
ZZ30GAL                        ,INNOVATIVEWASTE,30 Gallon Drum                                                                                       ,12.0,         ,30 Gallon Drum                                                                                       ,25.0,22.0,13.0,52.0
LABOR CHARGES                  ,CONVEYOR       ,Labor Charges for Repair Work                                                                        ,90.0,         ,Labor Charges for Repair Work                                                                        ,187.5,,97.5,52.0
ZZ5GALCAMO                     ,TKSUPPLIES     ,5 Gallon Camo Pail                                                                                   ,2.6,         ,5 Gallon Camo Pail                                                                                   ,5.41,6.764056,2.81,51.940850277264325
MISC PARTS                     ,HYDHOSE        ,Misc. Parts                                                                                          ,9.75,         ,Misc. Parts                                                                                          ,20.0,,10.25,51.24999999999999
ZZ5GAL                         ,BOTTLECREW     ,5 Gallon Pail                                                                                        ,2.55,         ,5 Gallon Pail                                                                                        ,5.22,,2.67,51.14942528735632
PARTS FOR REPAIR WORK (MISC)   ,BULKMFG        ,Misc. parts for Safety Certification                                                                 ,1126.2,         ,Misc. parts for Safety Certification                                                                 ,2266.89,,1140.6899999999998,50.31960086285615
FLO801800                      ,NACHRSAL       ,                                                                                                     ,1.568,         ,N-ER-G / Dyna Flo 8-0-18                                                                             ,3.14567,,1.57767,50.15370334459749
ZZLIDS                         ,ALLAMERI       ,Brown 5 gallon pail lids                                                                             ,1.81,         ,Lids for 5 Gallon White Pails                                                                        ,3.59029,,1.78029,49.58624512226032
ZONN3002                       ,TESSENDE       ,                                                                                                     ,3.9617,         ,Dyna Zone N30 / Grizzly Nitro N-30 / JRM Triad 30 / GV N30                                           ,7.77544,10.668292,3.8137399999999997,49.04854259051577
SEP4EMIC00                     ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.07285,         ,4 Ever Micro Green                                                                                   ,2.07181,,0.9989600000000001,48.216776634923086
ZZ250GAL                       ,JOHNBELL       ,250 Gallon Mini Tank                                                                                 ,65.0,         ,250 Gallon IBC                                                                                       ,125.0,143.333333,60.0,48.0
ZZ250GAL                       ,JIMMYGRI       ,250 Gallon Mini Tank                                                                                 ,65.0,EACH5    ,250 Gallon IBC                                                                                       ,125.0,143.333333,60.0,48.0
ZZ5GALCAMO                     ,               ,                                                                                                     ,2.83,         ,5 Gallon Camo Pail                                                                                   ,5.41,6.764056,2.58,47.689463955637706
ZZ5GALCAMO                     ,ROPAK          ,                                                                                                     ,2.83,         ,5 Gallon Camo Pail                                                                                   ,5.41,6.764056,2.58,47.689463955637706
ZZ5GALCAMO                     ,SMITH CONTAINER,                                                                                                     ,2.83,         ,5 Gallon Camo Pail                                                                                   ,5.41,6.764056,2.58,47.689463955637706
ZZ5GALCAMO                     ,RIBELIN        ,                                                                                                     ,2.83,         ,5 Gallon Camo Pail                                                                                   ,5.41,6.764056,2.58,47.689463955637706
