ITEMNMBR,VENDORID,VendorDesc,OfferPrice,VendorUOM,ITEMDESC,SystemCost,AvgSellingPrice,SourcingDiff,SourcingPct
ZZ5GAL                         ,PENNBOTT       ,White 5 gallon Pails                                                                                 ,2.75,         ,5 Gallon Pail                                                                                        ,5.22,,2.4699999999999998,47.31800766283525
MISCDEFOAM                     ,BREWER         ,PICK UP IN VERO BEACH                                                                                ,1.88382,LBS      ,Defoamer                                                                                             ,3.56875,,1.68493,47.213450087565676
NPKMKP                         ,BELLCHEM       ,                                                                                                     ,0.53,         ,Mono Potassium Phosphate                                                                             ,1.00007,,0.47007,47.00370974031818
EDTAFEHE                       ,NACHRSAL       ,Iron HEDTA 4.5% Liquid                                                                               ,0.87934,         ,Iron HEDTA 4.5% Liquid                                                                               ,1.65,,0.7706599999999999,46.70666666666666
FLO3181800                     ,NACHRSAL       ,                                                                                                     ,2.35,         ,Dyna Flo 3-18-18 / Mega Feed 3-18-18                                                                 ,4.38971,,2.03971,46.46571185795872
MISCOIL02                      ,UNITEDAG       ,                                                                                                     ,3.77,         ,Citrus Soluble Oil                                                                                   ,6.9583,,3.1883000000000004,45.82009973700473
FREIGHT                        ,MOTION         ,Freight Charge:                                                                                      ,18.31,         ,Freight Charge:                                                                                      ,33.5,1185.0,15.190000000000001,45.343283582089555
MISCMETHPAR                    ,HALLSTAR       ,Methly Paraben                                                                                       ,6.21309,         ,Methyl Paraben                                                                                       ,11.27083,,5.05774,44.874601071970744
GEOTERR02                      ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,2.35,         ,Vented Grizzly Terrain  /   Duster Down                                                              ,4.2528,,1.9027999999999996,44.742287434161014
GEOTERR02                      ,PRODICAL       ,                                                                                                     ,2.35,         ,Vented Grizzly Terrain  /   Duster Down                                                              ,4.2528,,1.9027999999999996,44.742287434161014
ZZ2.5GALF                      ,TKSUPPLIES     ,2.5 Gallon F-Style                                                                                   ,2.43,EACH5    ,2.5 F-style Jug/Box combo Haz-Mat                                                                    ,4.39,,1.9599999999999995,44.64692482915717
ZZ2.5GALF                      ,PENNBOTT       ,F-Style Jugs                                                                                         ,2.43624,         ,2.5 F-style Jug/Box combo Haz-Mat                                                                    ,4.39,,1.9537599999999995,44.50478359908883
ZZ2.5GALCASE                   ,TKSUPPLIES     ,2.5 Gal Jug Case                                                                                     ,0.98,         ,2.5 Gallon Case Squat - Box Only                                                                     ,1.765,,0.7849999999999999,44.475920679886684
SO4CU                          ,DOUGLASPLANT   ,Copper Sulphate 25.2%                                                                                ,1.04684,         ,Copper Sulphate 25.2%                                                                                ,1.86,,0.8131600000000001,43.71827956989247
FLOKTS00                       ,TESSENDE       ,                                                                                                     ,2.34622,         ,Dyna Flo  0-0-25 17 / Excel 0-0-25 / Grizzly KODIAK / LiquiLizer KTS                                 ,4.05256,,1.7063399999999995,42.10523718340998
MAC1TIME                       ,K-TECHNOLOGIES ,Phosphoric Acid 21.5%                                                                                ,123.80952,         ,Dyna Flo 3-2-6                                                                                       ,209.2,,85.39047999999998,40.81762906309751
MRCCCN00                       ,MORSES ENT     ,                                                                                                     ,7.03278,         ,Copper Count N                                                                                       ,11.75387,,4.721089999999999,40.16626013389632
SOILPLEX02                     ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,0.63058,         ,Soil Plex  > white jugs & vented caps                                                                ,1.05329,,0.42271000000000003,40.13234721681588
FERTAFL02                      ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,0.63058,         ,FertaFlow White Jugs & Vented Caps                                                                   ,1.05327,,0.4226899999999999,40.13121042087973
ZZ250GAL                       ,TERRAFEED      ,250 Gallon IBC                                                                                       ,75.0,         ,250 Gallon IBC                                                                                       ,125.0,143.333333,50.0,40.0
ZZ2.5GAL                       ,SMITH CONTAINER,                                                                                                     ,1.5288,         ,2.5 Gallon  Jug Squat/Box Combo DO NOT USE                                                           ,2.54643,,1.01763,39.963007033376144
ZZ2.5GAL                       ,PACK           ,                                                                                                     ,1.5288,         ,2.5 Gallon  Jug Squat/Box Combo DO NOT USE                                                           ,2.54643,,1.01763,39.963007033376144
ZZ2.5GAL                       ,PACKAGESUPPLY  ,                                                                                                     ,1.5288,         ,2.5 Gallon  Jug Squat/Box Combo DO NOT USE                                                           ,2.54643,,1.01763,39.963007033376144
GRPFOLIC                       ,GRAYMORCHEM    ,Folic Acid Dry                                                                                       ,19.27787,         ,Folic Acid Dry                                                                                       ,32.0,,12.72213,39.75665625
FLO15001600                    ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,2.25,         ,pHury                                                                                                ,3.70352,,1.4535200000000001,39.24698665053787
LABOR CHARGES                  ,ALERTTIR       ,Labor Charges for Repair Work                                                                        ,115.0,         ,Labor Charges for Repair Work                                                                        ,187.5,,72.5,38.666666666666664
NO3CU                          ,SHEPHERD       ,Copper Nitrate 18%                                                                                   ,0.71,LBS      ,Copper Nitrate 14%                                                                                   ,1.14072,,0.43072,37.75860859807841
ZONN30250                      ,TESSENDE       ,                                                                                                     ,3.9617,         ,Dyna Zone N30 / Grizzly Nitro N-30 / JRM Triad 30 / GV N30                                           ,6.34407,,2.3823700000000003,37.552706700903364
FLO091802                      ,NACHRSAL       ,                                                                                                     ,4.0,         ,Dyna Flo 0-9-18                                                                                      ,6.398,,2.3979999999999997,37.48046264457643
BIA0252002                     ,BIAGROWE       ,                                                                                                     ,3.36274,         ,Nutri Phite Fungi-Phite                                                                              ,5.3045,9.07,1.94176,36.60590065039118
DYNASURF00                     ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,4.4289,         ,Dynasurf                                                                                             ,6.976,,2.5471000000000004,36.51232798165138
DYNASURF00                     ,PRODICAL       ,                                                                                                     ,4.4289,         ,Dynasurf                                                                                             ,6.976,,2.5471000000000004,36.51232798165138
ZZ5GALCAMO                     ,BOTTLECREW     ,5 Gallon Camo Pail                                                                                   ,3.45,         ,5 Gallon Camo Pail                                                                                   ,5.41,6.764056,1.96,36.22920517560074
LABOR CHARGES                  ,TAYLORSFORKLIFT,Labor Charges for Repair Work                                                                        ,120.0,         ,Labor Charges for Repair Work                                                                        ,187.5,,67.5,36.0
MICROBML02                     ,TESSENDE       ,                                                                                                     ,2.8342,         ,Vented Microbe Meal / Rootein                                                                        ,4.42632,,1.5921199999999995,35.969383144463116
GRPMERGE05                     ,ACETO          ,                                                                                                     ,1.80288,         ,Merge                                                                                                ,2.75,,0.94712,34.44072727272727
GRPMERGE05                     ,SCHWEIZE       ,                                                                                                     ,1.80288,         ,Merge                                                                                                ,2.75,,0.94712,34.44072727272727
GRPMERGE05                     ,PATHWAYBIO     ,Merge                                                                                                ,1.80288,         ,Merge                                                                                                ,2.75,,0.94712,34.44072727272727
NPKKSIO2HI                     ,PQCORPORATION  ,Potassium Silicate 0-0-8                                                                             ,1.68472,         ,Potassium Silicate 0-0-12 - AgSil 21                                                                 ,2.55627,,0.87155,34.09459877086537
NPKKSIO2HI                     ,LIDOCHEM       ,                                                                                                     ,1.68472,         ,Potassium Silicate 0-0-12 - AgSil 21                                                                 ,2.55627,,0.87155,34.09459877086537
NPKKSIO2HI                     ,GROTECHCHEMICAL,Mono Potassium Phosphate                                                                             ,1.68472,         ,Potassium Silicate 0-0-12 - AgSil 21                                                                 ,2.55627,,0.87155,34.09459877086537
NPKKSIO2HI                     ,SOUTHERNA      ,Mono Potassium Phosphate                                                                             ,1.68472,         ,Potassium Silicate 0-0-12 - AgSil 21                                                                 ,2.55627,,0.87155,34.09459877086537
NPKKSIO2HI                     ,VICKSBUR       ,                                                                                                     ,1.68472,         ,Potassium Silicate 0-0-12 - AgSil 21                                                                 ,2.55627,,0.87155,34.09459877086537
NPKKSIO2HI                     ,HARRELLS       ,                                                                                                     ,1.68472,         ,Potassium Silicate 0-0-12 - AgSil 21                                                                 ,2.55627,,0.87155,34.09459877086537
NPKKSIO2HI                     ,BELLCHEM       ,                                                                                                     ,1.68472,         ,Potassium Silicate 0-0-12 - AgSil 21                                                                 ,2.55627,,0.87155,34.09459877086537
NPKKSIO2HI                     ,PLANTFOO       ,                                                                                                     ,1.68472,         ,Potassium Silicate 0-0-12 - AgSil 21                                                                 ,2.55627,,0.87155,34.09459877086537
OMFISH+00                      ,OMEGAPROTEIN   ,Omega Grow Plus Fish Emulsion Protein 3-1-1                                                          ,3.06843,         ,Dyna Flo Fish  3-1-1                                                                                 ,4.612,,1.5435699999999999,33.46856027753686
ZZ55GAL                        ,PIONEER        ,55 Gallon Drum (white)                                                                               ,12.0,         ,55 Gallon Drum                                                                                       ,18.0,,6.0,33.33333333333333
ZZ2.5GAL                       ,BOTTLECREW     ,2.5 Gallon  Jug Squat                                                                                ,1.69804,         ,2.5 Gallon  Jug Squat/Box Combo DO NOT USE                                                           ,2.54643,,0.84839,33.3168396539469
PHURYPHOS30                    ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,4.9143,         ,pHury Phos                                                                                           ,7.30883,,2.3945300000000005,32.762152081796955
PHURYPHOS30                    ,PRODICAL       ,                                                                                                     ,4.9143,         ,pHury Phos                                                                                           ,7.30883,,2.3945300000000005,32.762152081796955
MISCBTERGE                     ,UNIVAR         ,Bio Terge PAS-8S                                                                                     ,1.97,         ,Bio Terge PAS-8S                                                                                     ,2.90333,,0.93333,32.146879617542616
OXZN                           ,CHEMTRADE      ,Zinc Oxide 99.9% as ZnO                                                                              ,1.35,         ,Zinc Oxide 99.9% as ZnO                                                                              ,1.98745,,0.6374499999999999,32.073762861958784
OXZN                           ,MADISON INDUSTR,Zinc Oxide 99.9% as ZnO                                                                              ,1.35,         ,Zinc Oxide 99.9% as ZnO                                                                              ,1.98745,,0.6374499999999999,32.073762861958784
GRPSEAEX                       ,ROPERGRO       ,                                                                                                     ,1.64421,         ,Soluble Seaweed Extract                                                                              ,2.38007,,0.73586,30.91757805442697
GRPSEAEX                       ,PBOHRSTROM     ,                                                                                                     ,1.64421,         ,Soluble Seaweed Extract                                                                              ,2.38007,,0.73586,30.91757805442697
FLOMOLA05                      ,TESSENDE       ,                                                                                                     ,1.95606,         ,Dyna Flo Molasses / Xtreme Brix / Bay Cane Molasses / JRM Molasses                                   ,2.8255,6.55,0.86944,30.7711909396567
FLOFULVIC02                    ,TESSENDE       ,                                                                                                     ,19.05,         ,Dyna Flo Fulvic Acid Liquid 30%                                                                      ,27.43789,31.75,8.387889999999999,30.57046296198432
MRCCCN00                       ,CHEMSPEC       ,Copper Count N                                                                                       ,8.2,         ,Copper Count N                                                                                       ,11.75387,,3.55387,30.23574363167195
ZZ30GAL                        ,DRUMSINC       ,                                                                                                     ,17.5,         ,30 Gallon Drum                                                                                       ,25.0,22.0,7.5,30.0
PHURYFE05                      ,PRODICAL       ,                                                                                                     ,3.92098,         ,pHury w/Iron                                                                                         ,5.578,,1.6570200000000002,29.706346360702764
PHURYFE05                      ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,3.92098,         ,pHury w/Iron                                                                                         ,5.578,,1.6570200000000002,29.706346360702764
NPKKSIO2                       ,PQCORPORATION  ,Potassium Silicate 0-0-8                                                                             ,1.19355,         ,Potassium Silicate 0-0-8 - AgSil 25                                                                  ,1.6849,,0.49134999999999995,29.16196806932162
GRPFULVIC                      ,QUIMICA        ,                                                                                                     ,1.90974,         ,Fulvic Acid Liquid 30%                                                                               ,2.69444,,0.7847000000000002,29.122934635768477
FLO501250                      ,NACHRSAL       ,                                                                                                     ,1.568,         ,Dyna Flo 5-0-1 with Minors                                                                           ,2.20666,,0.6386599999999998,28.942383511732654
ZZ2.5GALTALL                   ,PACK           ,                                                                                                     ,1.66,         ,2.5 Gallon Tall F Solo Jug                                                                           ,2.33594,,0.67594,28.936530904047192
ZZ2.5GALTALL                   ,PENNBOTT       ,F-Style Jugs Fluorinated                                                                             ,1.66,EACH5    ,2.5 Gallon Tall F Solo Jug                                                                           ,2.33594,,0.67594,28.936530904047192
ZZ2.5GALTALL                   ,TKSUPPLIES     ,2.5 Gallon F-Style Florinated                                                                        ,1.66,EACH5    ,2.5 Gallon Tall F Solo Jug                                                                           ,2.33594,,0.67594,28.936530904047192
ZZ2.5GALTALL                   ,SMITH CONTAINER,                                                                                                     ,1.66,         ,2.5 Gallon Tall F Solo Jug                                                                           ,2.33594,,0.67594,28.936530904047192
PHURYHUM00                     ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,3.51,         ,pHury Hume                                                                                           ,4.915,,1.4050000000000002,28.58596134282808
PHURYHUM00                     ,PRODICAL       ,                                                                                                     ,3.51,         ,pHury Hume                                                                                           ,4.915,,1.4050000000000002,28.58596134282808
ZZ5GALTH                       ,TKSUPPLIES     ,White 5gal Tight Head                                                                                ,9.375,         ,5 Gallon Jug - White/Tite Head                                                                       ,13.09,,3.715,28.380443086325442
FLOMOLA02                      ,TESSENDE       ,                                                                                                     ,1.95606,         ,Dyna Flo Molasses / Xtreme Brix / Bay Cane Molasses / JRM Molasses                                   ,2.73,5.630769,0.7739400000000001,28.34945054945055
ZZLIDSVENTED                   ,RIEKECOR       ,                                                                                                     ,0.92364,         ,Vented Lids for 5 Gal Pails                                                                          ,1.27,,0.34636,27.272440944881886
NO3CU                          ,WORLD METALS   ,Copper Nitrate 14%                                                                                   ,0.83405,         ,Copper Nitrate 14%                                                                                   ,1.14072,,0.30667,26.883897889052527
EDTAFEHE                       ,COREAG         ,Iron HEDTA 4.5% Liquid                                                                               ,1.24763,         ,Iron HEDTA 4.5% Liquid                                                                               ,1.65,,0.4023699999999999,24.3860606060606
REPACK02                       ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.05783,         ,Repack:                                                                                              ,1.38076,2.722895,0.32292999999999994,23.387844375561283
ZZLIDSCAMO                     ,BOTTLECREW     ,Camo Lids for 50 LB Buckets                                                                          ,1.7,         ,Camo Lids for 50 LB Buckets                                                                          ,2.21351,3.081726,0.5135099999999999,23.198901292517313
GRPFOLIC                       ,BARRINGTONCHEM ,Folic Acid Dry                                                                                       ,24.87671,         ,Folic Acid Dry                                                                                       ,32.0,,7.123290000000001,22.260281250000002
GRPFOLIC                       ,ACETO          ,Folic Acid Dry                                                                                       ,24.87671,         ,Folic Acid Dry                                                                                       ,32.0,,7.123290000000001,22.260281250000002
REPLACE BED ON F350            ,PREMIER        ,Replace Bed on F350                                                                                  ,2420.17,         ,Replace Bed on F350                                                                                  ,3058.38,,638.21,20.867583491914022
PHURYMG250                     ,PRODICAL       ,                                                                                                     ,3.51,         ,pHury w/Magnesium                                                                                    ,4.4322,,0.9222000000000001,20.806822796805204
PHURYMG250                     ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,3.51,         ,pHury w/Magnesium                                                                                    ,4.4322,,0.9222000000000001,20.806822796805204
GEOTERR00                      ,PRODICAL       ,                                                                                                     ,2.2965,         ,Vented Grizzly Terrain  /  Duster Down                                                               ,2.8716,,0.5751,20.027162557459256
GEOTERR00                      ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,2.2965,         ,Vented Grizzly Terrain  /  Duster Down                                                               ,2.8716,,0.5751,20.027162557459256
ZZ250GAL                       ,DRUMSINC       ,                                                                                                     ,100.0,         ,250 Gallon IBC                                                                                       ,125.0,143.333333,25.0,20.0
ZZ30GAL                        ,PIONEER        ,30 Gallon Drum (Blue)                                                                                ,20.0,         ,30 Gallon Drum                                                                                       ,25.0,22.0,5.0,20.0
PHURYPHOS02                    ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,6.55483,         ,pHury Phos *>Do Not Sell In Buckets<<**                                                              ,8.188,16.2,1.6331700000000007,19.945896433805576
PHURYPHOS02                    ,PRODICAL       ,                                                                                                     ,6.55483,         ,pHury Phos *>Do Not Sell In Buckets<<**                                                              ,8.188,16.2,1.6331700000000007,19.945896433805576
HYDROLIC OIL (1 GAL)           ,TAYLORSFORKLIFT,R?O Hydraulic Oil (1 gal)                                                                            ,27.48,         ,R?O Hydraulic Oil (1 gal)                                                                            ,33.99,,6.510000000000002,19.15269196822595
ZZ2.5GAL                       ,PENNBOTT       ,2.5 Gallon Jug                                                                                       ,2.07398,         ,2.5 Gallon  Jug Squat/Box Combo DO NOT USE                                                           ,2.54643,,0.4724499999999998,18.55342577647922
BIA0252000                     ,BIAGROWE       ,                                                                                                     ,3.36274,         ,Nutri Phite Fungi-Phite                                                                              ,4.10245,,0.7397100000000001,18.0309327353167
9-2-7 W/1-4CA-3MG              ,FLORIDAFERTCO  ,2312-0007                                                                                            ,373.44,         ,2312-0007                                                                                            ,454.2485,,80.80849999999998,17.789491875041964
GREENFIRE00                    ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,1.01793,         ,Greenfire                                                                                            ,1.23361,,0.2156800000000001,17.483645560590467
ZZ2.5GALWH                     ,TKSUPPLIES     ,2.5 Gal Jug White                                                                                    ,2.03,         ,2.5 Gallon Jug White                                                                                 ,2.45667,,0.4266700000000001,17.367819039594252
ZZLIDSCAMO                     ,TKSUPPLIES     ,Camo Lids for 50 LB Buckets                                                                          ,1.83585,         ,Camo Lids for 50 LB Buckets                                                                          ,2.21351,3.081726,0.3776599999999999,17.06158996345171
GRPHUMICDRY                    ,LIGNOTEC       ,                                                                                                     ,2.29063,         ,Humic Acid Dry                                                                                       ,2.75,,0.45936999999999983,16.70436363636363
SO4CU                          ,BAYCHEMI       ,                                                                                                     ,1.55,         ,Copper Sulphate 25.2%                                                                                ,1.86,,0.31000000000000005,16.666666666666668
MISCINTGR80                    ,BREWER         ,                                                                                                     ,1.7222,         ,T-DET EPO 62 soil wetting agent                                                                      ,2.06,,0.3378000000000001,16.398058252427187
MISCINTGR80                    ,TRIANGLE PC    ,Irrigate Gold                                                                                        ,1.7222,         ,T-DET EPO 62 soil wetting agent                                                                      ,2.06,,0.3378000000000001,16.398058252427187
SERVICE CALL ON THE ROAD       ,PLANT CITY LOCK,Road Call Service Call                                                                               ,79.5,         ,Road Call Service Call                                                                               ,95.0,,15.5,16.315789473684212
5JE SLEEVE FOR LOVEJOY         ,MOTION         ,00513405 Sleeve 5JE                                                                                  ,18.48,         ,00513405 Sleeve 5JE                                                                                  ,22.0375,,3.557500000000001,16.142938173567785
NO3CU                          ,CHEMSPEC       ,Copper Nitrate 17%                                                                                   ,0.96,         ,Copper Nitrate 14%                                                                                   ,1.14072,,0.18072,15.842625710077845
GRPFOLIC                       ,FLORIDAMINERAL ,Folic Acid Dry                                                                                       ,27.0,         ,Folic Acid Dry                                                                                       ,32.0,,5.0,15.625
FLO021255                      ,NACHRSAL       ,                                                                                                     ,12.9742,         ,Dyna Flo K-Sil 0-2-12 w/ silicates                                                                   ,15.36636,,2.3921600000000005,15.567512410225978
SO4CU                          ,OLDBRIDG       ,Copper Sulphate 25.2%                                                                                ,1.58,         ,Copper Sulphate 25.2%                                                                                ,1.86,,0.28,15.053763440860216
NPKMKP                         ,PLANTFOO       ,                                                                                                     ,0.85,         ,Mono Potassium Phosphate                                                                             ,1.00007,,0.15007000000000004,15.005949583529157
PHURYPHOS250                   ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,5.64511,         ,pHury Phos                                                                                           ,6.61111,15.2,0.9660000000000002,14.611767161641541
PHURYPHOS250                   ,PRODICAL       ,                                                                                                     ,5.64511,         ,pHury Phos                                                                                           ,6.61111,15.2,0.9660000000000002,14.611767161641541
OXZN                           ,BAYCHEMI       ,                                                                                                     ,1.7,         ,Zinc Oxide 99.9% as ZnO                                                                              ,1.98745,,0.28745,14.463256937281441
OXZN                           ,OLDBRIDG       ,Zinc Oxide 99.9% as ZnO                                                                              ,1.7,         ,Zinc Oxide 99.9% as ZnO                                                                              ,1.98745,,0.28745,14.463256937281441
FLO091855                      ,NACHRSAL       ,                                                                                                     ,4.0,         ,Dyna Flo 0-9-18                                                                                      ,4.65945,,0.6594499999999996,14.152957967142038
ZONN3055                       ,TESSENDE       ,                                                                                                     ,4.20994,         ,Dyna Zone N30 / Grizzly Nitro N-30 / JRM Triad 30  / GV N30                                          ,4.892,,0.6820600000000008,13.942354865085868
ZONN2800                       ,TESSENDE       ,                                                                                                     ,3.70013,         ,Dyna Zone N28 /Threshold N28 / Ultra Green 28-0-0 / Tech Line 28-0-0                                 ,4.29653,,0.5963999999999996,13.880969061079515
PHURYHUM250                    ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,5.08,         ,pHury Hume                                                                                           ,5.87264,,0.7926399999999996,13.497166521360063
PHURYHUM250                    ,PRODICAL       ,                                                                                                     ,5.08,         ,pHury Hume                                                                                           ,5.87264,,0.7926399999999996,13.497166521360063
ACS030002                      ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,0.918,         ,ACS Molasses (Terra Feed)                                                                            ,1.06036,,0.14235999999999993,13.425629031649622
BREWMSO02                      ,BREWER         ,Farmer Supply MSO                                                                                    ,9.05,         ,Farmer Supply MSO                                                                                    ,10.43889,,1.38889,13.304958668977257
FLO50100                       ,NACHRSAL       ,                                                                                                     ,1.568,         ,Dyna Flo 5-0-1 with Minors / CNS Mirco 5-0-1                                                         ,1.80666,,0.23865999999999987,13.210011845062153
MISCKSORBDRY                   ,BRENNTAG       ,Potassium Sorbate                                                                                    ,3.95,         ,Potassium Sorbate Dry                                                                                ,4.52066,,0.5706600000000002,12.623378002327096
ZZ2.5GALFFL                    ,BOTTLECREW     ,2.5 Gallon Solo Jug                                                                                  ,2.065,         ,2.5 Gallon Squat Solo Jug                                                                            ,2.36,,0.29499999999999993,12.499999999999996
PHURYPHOS05                    ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,5.76488,         ,pHury Phos *>Do Not Sell In Buckets<<**                                                              ,6.55483,,0.7899500000000002,12.051418572258932
PHURYPHOS05                    ,PRODICAL       ,                                                                                                     ,5.76488,         ,pHury Phos *>Do Not Sell In Buckets<<**                                                              ,6.55483,,0.7899500000000002,12.051418572258932
15W40 DIIESEL OIL (1 GAL)      ,NAPA AUTO PARTS,15W40 Diesel Oil ROT T4 (1 gal)                                                                      ,22.49,         ,15W40 Diesel Oil ROT T4 (1 gal)                                                                      ,25.49,,3.0,11.769321302471559
MISCKSORBDRY                   ,HARCROSC       ,Potassium Sorbate Dry                                                                                ,3.99,         ,Potassium Sorbate Dry                                                                                ,4.52066,,0.5306600000000001,11.738551450451927
ZZ2.5GALTALL                   ,BOTTLECREW     ,2.5 Gallon Solo Jug                                                                                  ,2.065,         ,2.5 Gallon Tall F Solo Jug                                                                           ,2.33594,,0.27093999999999996,11.598756817384007
PHURYMG00                      ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,3.51,         ,pHury w/Magnesium                                                                                    ,3.9322,,0.42220000000000013,10.736992014648292
PHURYMG00                      ,PRODICAL       ,                                                                                                     ,3.51,         ,pHury w/Magnesium                                                                                    ,3.9322,,0.42220000000000013,10.736992014648292
GRO1311619250                  ,AMERICANAG     ,Dyna Gro Nut # 1311619 / Citra Guard                                                                 ,8.3132,         ,Citra Guard XP                                                                                       ,9.3118,16.221465,0.9985999999999997,10.724027577911894
ZONN3000                       ,TESSENDE       ,                                                                                                     ,5.21965,         ,Dyna Zone N30 / Grizzly Nitro N-30 / JRM Triad 30 / GV N30                                           ,5.84408,,0.6244300000000003,10.684829776457548
ZZ2.5GAL                       ,TKSUPPLIES     ,2.5 Gal Jug                                                                                          ,2.28,         ,2.5 Gallon  Jug Squat/Box Combo DO NOT USE                                                           ,2.54643,,0.26643000000000017,10.462883330780747
ZZ2.5GALWH                     ,PENNBOTT       ,2.5 Gallon Jug                                                                                       ,2.206,         ,2.5 Gallon Jug White                                                                                 ,2.45667,,0.25066999999999995,10.203649655834928
ZZ2.5GALWH                     ,INMARK         ,                                                                                                     ,2.206,         ,2.5 Gallon Jug White                                                                                 ,2.45667,,0.25066999999999995,10.203649655834928
ZZ2.5GALWH                     ,               ,                                                                                                     ,2.206,         ,2.5 Gallon Jug White                                                                                 ,2.45667,,0.25066999999999995,10.203649655834928
ZZ2.5GALWH                     ,PACKAGESUPPLY  ,                                                                                                     ,2.206,         ,2.5 Gallon Jug White                                                                                 ,2.45667,,0.25066999999999995,10.203649655834928
ZZ2.5GALWH                     ,PACK           ,                                                                                                     ,2.206,         ,2.5 Gallon Jug White                                                                                 ,2.45667,,0.25066999999999995,10.203649655834928
ZZ2.5GALWH                     ,SMITH CONTAINER,                                                                                                     ,2.206,         ,2.5 Gallon Jug White                                                                                 ,2.45667,,0.25066999999999995,10.203649655834928
PHURYHUM30                     ,PRODICAL       ,                                                                                                     ,5.08,         ,pHury Hume                                                                                           ,5.64827,,0.56827,10.060956717720648
PHURYHUM30                     ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,5.08,         ,pHury Hume                                                                                           ,5.64827,,0.56827,10.060956717720648
GRPALGAE                       ,PBOHRSTROM     ,                                                                                                     ,1.52177,         ,OceanGlas                                                                                            ,1.69187,2.2,0.17009999999999992,10.053963957041612
GRPALGAE                       ,ROPERGRO       ,                                                                                                     ,1.52177,         ,OceanGlas                                                                                            ,1.69187,2.2,0.17009999999999992,10.053963957041612
BIA0282600                     ,BIAGROWE       ,                                                                                                     ,3.02512,         ,Nutri Phite P & K 0-28-26 /  Quali-Phite                                                             ,3.36274,,0.33762000000000025,10.040026882839596
